year,category,film,name,status,gender
1927,CINEMATOGRAPHY,The Devil Dancer;,George Barnes,nominated,male
1927,WRITING,The Private Life of Helen of Troy,Gerald Duffy,nominated,male
1927,WRITING,Underworld,Ben Hecht,winner,male
1927,WRITING,The Last Command,Lajos Biro,nominated,male
1927,WRITING,7th Heaven,Benjamin Glazer,winner,male
1927,WRITING,Glorious Betsy,Anthony Coldeway,nominated,male
1927,WRITING,The Jazz Singer,Alfred Cohn,nominated,male
1927,CINEMATOGRAPHY,Sunrise,Charles Rosher,winner,male
1927,DIRECTING,Sorrell and Son,Herbert Brenon,nominated,male
1927,DIRECTING,7th Heaven,Frank Borzage,winner,male
1927,DIRECTING,Speedy,Ted Wilde,nominated,male
1927,DIRECTING,Two Arabian Knights,Lewis Milestone,winner,male
1927,CINEMATOGRAPHY,Sunrise,Karl Struss,winner,male
1927,DIRECTING,The Crowd,King Vidor,nominated,male
1928,WRITING,The Last of Mrs. Cheyney,Hans Kraly,nominated,male
1928,WRITING,The Cop;,Elliott Clawson,nominated,male
1928,WRITING,In Old Arizona;,Tom Barry,nominated,male
1928,DIRECTING,The Patriot,Ernst Lubitsch,nominated,male
1928,DIRECTING,Drag;,Frank Lloyd,nominated,male
1928,DIRECTING,The Divine Lady,Frank Lloyd,winner,male
1928,DIRECTING,Madame X,Lionel Barrymore,nominated,male
1928,DIRECTING,The Broadway Melody,Harry Beaumont,nominated,male
1928,CINEMATOGRAPHY,The Divine Lady,John Seitz,nominated,male
1928,CINEMATOGRAPHY,Four Devils;,Ernest Palmer,nominated,male
1928,CINEMATOGRAPHY,In Old Arizona,Arthur Edeson,nominated,male
1928,WRITING,The Patriot,Hans Kraly,winner,male
1928,CINEMATOGRAPHY,Our Dancing Daughters,George Barnes,nominated,male
1928,DIRECTING,In Old Arizona,Irving Cummings,nominated,male
1928,CINEMATOGRAPHY,White Shadows in the South Seas,Clyde De Vinna,winner,male
1928,WRITING,Our Dancing Daughters,Josephine Lovett,nominated,female
1928,WRITING,A Woman of Affairs;,Bess Meredyth,nominated,female
1929,DIRECTING,All Quiet on the Western Front,Lewis Milestone,winner,male
1929,WRITING,Street of Chance,Howard Estabrook,nominated,male
1929,WRITING,The Divorcee,John Meehan,nominated,male
1929,WRITING,Disraeli,Julian Josephson,nominated,male
1929,WRITING,All Quiet on the Western Front,Maxwell Anderson,nominated,male
1929,WRITING,All Quiet on the Western Front,George Abbott,nominated,male
1929,DIRECTING,Hallelujah,King Vidor,nominated,male
1929,DIRECTING,The Love Parade,Ernst Lubitsch,nominated,male
1929,DIRECTING,The Divorcee,Robert Leonard,nominated,male
1929,DIRECTING,Anna Christie;,Clarence Brown,nominated,male
1929,CINEMATOGRAPHY,With Byrd at the South Pole,Willard Van Der Veer,winner,male
1929,CINEMATOGRAPHY,The Love Parade,Victor Milner,nominated,male
1929,CINEMATOGRAPHY,Hell's Angels,Harry Perry,nominated,male
1929,CINEMATOGRAPHY,Hell's Angels,Gaetano Gaudio,nominated,male
1929,CINEMATOGRAPHY,Anna Christie,William Daniels,nominated,male
1929,CINEMATOGRAPHY,All Quiet on the Western Front,Arthur Edeson,nominated,male
1929,WRITING,The Big House,Frances Marion,winner,female
1929,CINEMATOGRAPHY,With Byrd at the South Pole,Joseph T. Rucker,winner,male
1930,WRITING,The Dawn Patrol,John Monk Saunders,winner,male
1930,WRITING,Skippy,Sam Mintz,nominated,male
1930,WRITING,Skippy,Joseph L. Mankiewicz,nominated,male
1930,WRITING,Little Caesar,Robert N. Lee,nominated,male
1930,WRITING,Little Caesar,Francis Faragoh,nominated,male
1930,WRITING,The Doorway to Hell,Rowland Brown,nominated,male
1930,WRITING,Laughter,Douglas Doty,nominated,male
1930,WRITING,Laughter,Donald Ogden Stewart,nominated,male
1930,WRITING,The Public Enemy,John Bright,nominated,male
1930,WRITING,Holiday,Horace Jackson,nominated,male
1930,WRITING,The Public Enemy,Kubec Glasmon,nominated,male
1930,WRITING,Smart Money,Lucien Hubbard,nominated,male
1930,WRITING,Smart Money,Joseph Jackson,nominated,male
1930,WRITING,Laughter,Harry d'Abbadie d'Arrast,nominated,male
1930,WRITING,The Criminal Code,Fred Niblo,nominated,male
1930,CINEMATOGRAPHY,Tabu,Floyd Crosby,winner,male
1930,WRITING,Cimarron,Howard Estabrook,winner,male
1930,CINEMATOGRAPHY,Cimarron,Edward Cronjager,nominated,male
1930,WRITING,The Criminal Code,Seton I. Miller,nominated,male
1930,CINEMATOGRAPHY,The Right to Love,Charles Lang,nominated,male
1930,CINEMATOGRAPHY,Svengali,"Barney ""Chick"" McGill",nominated,male
1930,CINEMATOGRAPHY,Morocco,Lee Garmes,nominated,male
1930,DIRECTING,A Free Soul,Clarence Brown,nominated,male
1930,DIRECTING,The Front Page,Lewis Milestone,nominated,male
1930,DIRECTING,Morocco,Josef Von Sternberg,nominated,male
1930,DIRECTING,Skippy,Norman Taurog,winner,male
1930,DIRECTING,Cimarron,Wesley Ruggles,nominated,male
1931,DIRECTING,The Champ,King Vidor,nominated,male
1931,WRITING,What Price Hollywood?,Jane Murfin,nominated,female
1931,WRITING,What Price Hollywood?,Adela Rogers St. Johns,nominated,female
1931,WRITING,The Champ,Frances Marion,winner,female
1931,CINEMATOGRAPHY,Arrowsmith,Ray June,nominated,male
1931,CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde,Karl Struss,nominated,male
1931,CINEMATOGRAPHY,Shanghai Express,Lee Garmes,winner,male
1931,DIRECTING,Bad Girl,Frank Borzage,winner,male
1931,DIRECTING,Shanghai Express,Josef Von Sternberg,nominated,male
1931,WRITING,Arrowsmith,Sidney Howard,nominated,male
1931,SHORT FILM,The Music Box,Hal Roach,winner,male
1931,WRITING,Lady and Gent,William Slavens McNutt,nominated,male
1931,WRITING,Lady and Gent,Grover Jones,nominated,male
1931,WRITING,Dr. Jekyll and Mr. Hyde,Samuel Hoffenstein,nominated,male
1931,WRITING,The Star Witness,Lucien Hubbard,nominated,male
1931,WRITING,Bad Girl,Edwin Burke,winner,male
1931,SHORT FILM,The Loud Mouth,Mack Sennett,nominated,male
1931,SHORT FILM,Wrestling Swordfish,Mack Sennett,winner,male
1931,WRITING,Dr. Jekyll and Mr. Hyde,Percy Heath,nominated,male
1932,SHORT FILM,Krakatoa,Joe Rock,winner,male
1932,WRITING,The Prizefighter and the Lady,Frances Marion,nominated,female
1932,WRITING,Rasputin and the Empress,Charles MacArthur,nominated,male
1932,WRITING,One Way Passage,Robert Lord,winner,male
1932,WRITING,State Fair,Paul Green,nominated,male
1932,WRITING,Little Women,Victor Heerman,winner,male
1932,WRITING,Lady for a Day,Robert Riskin,nominated,male
1932,SHORT FILM,Menu,Pete Smith,nominated,male
1932,SHORT FILM,So This Is Harris,Louis Brock,winner,male
1932,SHORT FILM,A Preferred List,Louis Brock,nominated,male
1932,SHORT FILM,Mister Mugg,Warren Doane,nominated,male
1932,DIRECTING,Little Women,George Cukor,nominated,male
